Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Nick Mears","MIL",59,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Nick Mears",25376,683232
"Connor Thomas","MIL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Connor Thomas",25873,671162
"Quinn Priester","MIL",27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Quinn Priester",25977,682990
"Jared Koenig","MIL",67,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Jared Koenig",27517,657649
"Chad Patrick","MIL",24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Chad Patrick",30113,694477
"Carlos Rodriguez","MIL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Carlos Rodriguez",30161,692230
"Logan Henderson","MIL",5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Logan Henderson",31475,701656
"Jacob Misiorowski","MIL",13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Jacob Misiorowski",31623,694819
"Craig Yoho","MIL",8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Craig Yoho",33248,684974
"Drew Avans","MIL",1,3,0,0,1,0,0,0.333333333,0,0,0,0,0,0,0.20600000023841858,-100,0,-0.7623898909158251,0.011154565960168839,-0.0662721503136103,"Drew Avans",25183,682183
"Daz Cameron","MIL",21,42,1,7,3,1,0.023809523,0.309523809,0.097560975,0.259259259,0.195121951,0.214285714,0.292682926,0.22092865194593156,0.2742823873247419,37.38424722315649,0.3288717120885849,-2.7926364155499472,-0.05171629786491394,-0.14610769593613274,"Daz Cameron",18353,663662
"Anthony Seigler","MIL",34,73,0,6,5,2,0.109589041,0.219178082,0.016129032,0.255319148,0.193548387,0.291666666,0.209677419,0.23937646134032142,0.3064093589782715,50.03367914306689,0.7684595882892609,-3.560981217424496,-0.7439642120152712,-0.18886848662871572,"Anthony Seigler",23802,678011
"Oliver Dunn","MIL",14,41,0,4,6,1,0.048780487,0.268292682,0.055555556,0.23076923,0.166666666,0.205128205,0.222222222,0.19033106779440856,0.2455312777788211,16.403866877502956,0.24727000296115875,-3.820923661898818,-0.5947864502668381,-0.30961480868092334,"Oliver Dunn",26295,686554
"Vinny Capra","MIL",24,59,1,6,4,1,0.033898305,0.254237288,0.055555555,0.076923076,0.074074074,0.120689655,0.129629629,0.11713055187258227,0.19509322183174,-33.788810359125854,0.13908233679831028,-9.23013637823863,-0.12873661518096924,-0.7516410553757655,"Vinny Capra",25040,681962
